STuff1,Date,Stuff2,Stuff3,,,,,,
219 Sa1 alShash ,283, 56/R , 2.17 fh ,1012,,,,,
220 Sa1 al¬Shash ,284, 01/R08 ,2.84,512,,,,,
221 Sa1 al¬Shash ,284, 02/R19 ,2.99,81,,,,,
222 Sa1 al¬Shash ,284, 02/R24 ,2.95,189,,,,,
223 Sa1 al¬Shash ,284, 03/R03 , 2.51 gl ,16,,,,,
224 Sa1 al¬Shash ,284, 07/R03 ,3,363,,,,,
225 Sa1 al¬Shash ,284, 07/R03 , 2.97 g ,235,,,,,
226 Sa1 al¬Shash ,284, 07/R27 ,2.89,450,,,,,
227 Sa1 al¬Shash ,285, 1.47 f ,794,,,,,,
228 Sa1 al¬Shash ,285, 01/R05 , 2.41 fh ,1377,,,,,
229 Sa1 alShash ,285, 02/R13 , 1.54 f ,761,,,,,
230 Sa1 alShash ,285, 03/R06 ,2.97,446,,,,,
231 Sa1 al¬Shash ,285, 04/R10 ,3.09,349,,,,,
232 Sa1 al¬Shash ,285, 09/R10 ,2.4,454,,,,,
233 Sa1 al¬Shash ,285, 09/R12 ,2.85,257,,,,,
234 Sa1 alShash ,285, 10/R08 ,2.92,261,,,,,
235 Sa1 al¬Shash ,285, 10/R10 ,2.98,379,,,,,
236 Sa1 al¬Shash ,285, 11/R12 ,3.02,451,,,,,
237 Sa1 al¬Shash ,286, 01/R ,2.96,514,,,,,
238 Sa1 al¬Shash ,286, 01/R ,2.89,284,,,,,
239 Sa1 al¬Shash ,286, 01/R ,2.8,316,,,,,
240 Sa1 al¬Shash ,286, 01/R ,2.62,273,,,,,
241 Sa1 al¬Shash ,286, 01/R , 1.92 f ,1206,,,,,
242 Sa1 alShash ,286, 01/R , 1.54 f ,1258,,,,,
243 Sa1 al¬Shash ,286, 04/R , 2.99 h ,570,,,,,
244 Sa1 al¬Shash ,286, 07/R ,2.59,433,,,,,
245 Sa1 al¬Shash ,286, 08/R ,2.91,399,,,,,
246 Sa1 al¬Shash ,286, 08/R ,2.77,355,,,,,
247 Sa1 al¬Shash ,286, 09/R ,2.88,192,,,,,
248 Sa1 al¬Shash ,286, 10/R ,2.9,29,,,,,
249 Sa1 al¬Shash ,286, 12/R ,2.94,291,,,,,
250 Sa1 alShash ,286, 14/R , 1.49 f ,694,,,,,
251 Sa1 al¬Shash ,286, 17/R ,3.11,161,,,,,
252 Sa1 al¬Shash ,286, 17/R , 2.76 e ,232,,,,,
253 Sa1 al¬Shash ,286, 17/R , 1.42 fh ,1225,,,,,
254 Sa1 al¬Shash ,286, 17/R , 1.05 f ,1168,,,,,
255 Sa1 al¬Shash ,286, 25/R , 1.38 f ,967,,,,,
